Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71872210,2,"Wednesday, October 31, 2012 02:40:30 UTC",36.5975,-121.2032,1.0,8.50,18,"Central California"
ci,15238945,2,"Wednesday, October 31, 2012 02:28:35 UTC",34.2303,-117.4557,1.2,12.90,46,"Southern California"
nc,71872200,3,"Wednesday, October 31, 2012 02:10:59 UTC",38.8408,-122.8298,1.5,2.60,63,"Northern California"
ci,15238929,2,"Wednesday, October 31, 2012 02:02:00 UTC",35.9540,-117.3702,1.3,6.00,32,"Central California"
ci,15238921,2,"Wednesday, October 31, 2012 01:59:32 UTC",32.6402,-115.7092,1.6,8.40,26,"Baja California, Mexico"
nn,00392570,9,"Wednesday, October 31, 2012 01:31:40 UTC",38.2545,-119.1178,1.2,6.00, 9,"Central California"
ak,10590922,1,"Wednesday, October 31, 2012 01:30:25 UTC",61.5392,-148.3802,1.2,21.10, 6,"Southern Alaska"
ak,10590914,1,"Wednesday, October 31, 2012 01:22:46 UTC",63.5429,-150.7341,1.7,3.50, 7,"Central Alaska"
nc,71872180,3,"Wednesday, October 31, 2012 00:26:18 UTC",38.7893,-122.7635,2.1,2.20,92,"Northern California"
nc,71872170,3,"Wednesday, October 31, 2012 00:22:12 UTC",38.8075,-122.7912,1.9,0.90,64,"Northern California"
ak,10590703,1,"Tuesday, October 30, 2012 23:54:14 UTC",61.4633,-150.7288,1.7,55.30, 4,"Southern Alaska"
nc,71872155,3,"Tuesday, October 30, 2012 23:48:16 UTC",38.8305,-122.8022,1.9,2.30,80,"Northern California"
nc,71872150,3,"Tuesday, October 30, 2012 23:47:10 UTC",38.8313,-122.8013,1.9,2.30,81,"Northern California"
nc,71872140,0,"Tuesday, October 30, 2012 23:40:15 UTC",37.3112,-121.6672,1.0,3.10, 9,"Northern California"
ak,10590691,1,"Tuesday, October 30, 2012 23:31:43 UTC",61.4684,-150.7643,1.6,55.90, 6,"Southern Alaska"
ci,15238881,4,"Tuesday, October 30, 2012 23:29:07 UTC",35.0348,-117.7057,1.7,0.00,21,"Southern California"
ak,10590682,1,"Tuesday, October 30, 2012 23:26:16 UTC",58.9554,-154.3551,3.2,122.70,22,"Alaska Peninsula"
