Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b000dh2m,5,"Tuesday, October 30, 2012 00:41:33 UTC",-36.2027,-100.2501,4.6,10.00,33,"southeast of Easter Island"
hv,60423466,3,"Tuesday, October 30, 2012 00:35:12 UTC",19.3988,-155.2710,1.9,1.60,30,"Island of Hawaii, Hawaii"
us,2012hiac,A,"Tuesday, October 30, 2012 00:35:10 UTC",52.4119,-131.6454,4.1,10.00,117,"Queen Charlotte Islands, Canada region"
ci,15238161,3,"Tuesday, October 30, 2012 00:34:16 UTC",33.8850,-115.9905,2.5,2.80,142,"Southern California"
us,b000dh25,6,"Tuesday, October 30, 2012 00:32:18 UTC",52.4669,-132.1264,4.0,10.40,144,"Queen Charlotte Islands, Canada region"
nc,71871520,2,"Tuesday, October 30, 2012 00:21:51 UTC",36.2943,-120.8438,1.2,7.50,12,"Central California"
nc,71871515,2,"Tuesday, October 30, 2012 00:15:37 UTC",37.6245,-119.0427,1.6,21.90,31,"Central California"
nn,00392443,9,"Monday, October 29, 2012 23:55:46 UTC",40.8470,-118.5975,1.7,8.70, 6,"Nevada"
ak,10589810,1,"Monday, October 29, 2012 23:53:02 UTC",62.4185,-151.2992,1.8,38.20, 6,"Central Alaska"
us,b000dh1g,5,"Monday, October 29, 2012 23:51:42 UTC",-8.1762,123.4122,4.7,19.60,32,"Flores region, Indonesia"
hv,60423446,2,"Monday, October 29, 2012 23:46:31 UTC",19.3980,-155.2613,1.9,3.20,12,"Island of Hawaii, Hawaii"
uu,60003237,4,"Monday, October 29, 2012 23:46:06 UTC",39.4118,-111.0780,2.1,1.70,17,"Utah"
nc,71871490,3,"Monday, October 29, 2012 23:43:01 UTC",38.8307,-122.7783,1.6,1.80,54,"Northern California"
nc,71871485,3,"Monday, October 29, 2012 23:40:59 UTC",36.0188,-121.0268,2.1,11.70,88,"Central California"
us,b000dh1b,5,"Monday, October 29, 2012 23:40:16 UTC",-8.1632,123.4525,4.7,9.10,37,"Flores region, Indonesia"
nc,71871475,2,"Monday, October 29, 2012 23:30:00 UTC",37.6325,-119.0433,1.5,22.90,27,"Central California"
ak,10589797,1,"Monday, October 29, 2012 23:24:23 UTC",61.0170,-146.9050,1.5,27.30,10,"Southern Alaska"
ak,10589787,1,"Monday, October 29, 2012 23:07:12 UTC",64.9966,-147.3452,1.7,3.60,16,"Central Alaska"
uw,60482586,1,"Monday, October 29, 2012 23:05:15 UTC",49.4090,-120.5055,1.5,0.00, 7,"British Columbia, Canada"
uu,60003222,2,"Monday, October 29, 2012 23:02:35 UTC",39.3990,-111.0718,1.8,1.30, 8,"Utah"
nc,71871455,2,"Monday, October 29, 2012 22:59:26 UTC",37.6253,-119.0365,1.1,20.30,24,"Central California"
hv,60423421,3,"Monday, October 29, 2012 22:50:46 UTC",19.4138,-155.3092,2.0,4.90,42,"Island of Hawaii, Hawaii"
ak,10589772,2,"Monday, October 29, 2012 22:42:15 UTC",51.4274,-177.8460,1.8,25.80,12,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000dh0a,8,"Monday, October 29, 2012 22:41:13 UTC",-15.2632,-172.9336,4.7,34.20,139,"Samoa Islands region"
ak,10589768,1,"Monday, October 29, 2012 22:37:34 UTC",61.5886,-146.5766,1.3,25.70, 8,"Southern Alaska"
nc,71871440,2,"Monday, October 29, 2012 22:36:42 UTC",37.6183,-119.0338,1.0,20.70,27,"Central California"
ak,10589761,1,"Monday, October 29, 2012 22:27:38 UTC",64.6320,-149.3688,1.1,15.10, 7,"Central Alaska"
ak,10589748,1,"Monday, October 29, 2012 22:23:42 UTC",62.1591,-148.8141,2.9,20.50,56,"Central Alaska"
ci,15238137,2,"Monday, October 29, 2012 22:16:11 UTC",33.1730,-115.6512,1.1,4.40,11,"Southern California"
us,b000dgys,4,"Monday, October 29, 2012 22:00:33 UTC",52.6159,-132.2603,4.3,10.30,215,"Queen Charlotte Islands, Canada region"
ak,10589729,1,"Monday, October 29, 2012 22:00:17 UTC",61.5645,-140.6825,3.0,15.60,31,"Southern Yukon Territory, Canada"
ak,10589721,1,"Monday, October 29, 2012 21:52:17 UTC",61.3166,-141.6448,2.5,17.40, 4,"Southern Alaska"
us,b000dgy9,8,"Monday, October 29, 2012 21:46:58 UTC",3.2534,121.8809,4.3,604.50,35,"Celebes Sea"
ak,10589710,2,"Monday, October 29, 2012 21:41:33 UTC",61.4552,-141.1294,3.9,10.00,16,"Southern Alaska"
us,b000dgxf,6,"Monday, October 29, 2012 21:20:35 UTC",-4.7517,153.1616,4.9,81.70,90,"New Ireland region, Papua New Guinea"
nn,00392423,9,"Monday, October 29, 2012 21:17:08 UTC",38.4928,-118.3689,1.3,6.10, 9,"Nevada"
ak,10589691,1,"Monday, October 29, 2012 21:15:28 UTC",61.3998,-141.2013,2.2,0.20,12,"Southern Alaska"
ak,10589685,1,"Monday, October 29, 2012 21:13:12 UTC",61.1671,-142.1184,1.0,32.30, 4,"Southern Alaska"
ak,10589682,1,"Monday, October 29, 2012 21:09:51 UTC",61.6962,-141.2191,1.9,38.60, 5,"Southern Alaska"
nc,71871365,2,"Monday, October 29, 2012 21:09:38 UTC",37.6332,-119.0373,1.0,22.50,20,"Long Valley area, California"
ak,10589689,1,"Monday, October 29, 2012 21:06:26 UTC",60.1014,-147.9402,1.9,35.60, 7,"Southern Alaska"
ak,10589678,2,"Monday, October 29, 2012 21:06:07 UTC",61.4219,-141.1462,2.5,10.00,13,"Southern Alaska"
ci,15238121,2,"Monday, October 29, 2012 20:58:08 UTC",35.9972,-118.4545,1.4,2.80,43,"Central California"
us,b000dgvz,6,"Monday, October 29, 2012 20:49:49 UTC",52.3658,-131.4589,4.6,26.60,289,"Queen Charlotte Islands, Canada region"
ak,10589657,1,"Monday, October 29, 2012 20:49:31 UTC",64.2881,-149.8790,1.2,17.10, 6,"Central Alaska"
ak,10589652,1,"Monday, October 29, 2012 20:35:30 UTC",61.9882,-149.9866,1.6,41.10,13,"Southern Alaska"
ci,15238081,0,"Monday, October 29, 2012 20:30:18 UTC",33.0258,-116.4343,1.1,6.50,27,"Southern California"
ak,10589643,1,"Monday, October 29, 2012 20:19:01 UTC",59.7167,-152.0887,1.4,17.90, 4,"Southern Alaska"
ak,10589639,1,"Monday, October 29, 2012 20:14:58 UTC",60.6535,-147.4738,1.4,12.10, 5,"Southern Alaska"
